ticker,permno,date,prc,ret,vwretd,normalized_stock_return,normalized_market_return
META,13407,2023-12-29,353.95999,0.08195,0.053604,172.4531668967549,148.8937808252654
META,13407,2024-01-31,390.14001,0.102215,0.007561,190.0804673511067,150.0195667020852
META,13407,2024-02-29,490.13,0.257574,0.050584,239.04025364860067,157.6081564641435
META,13407,2024-03-28,485.57999,-0.009283,0.03245,236.8212429739807,162.72254114140495
META,13407,2024-04-30,430.17001,-0.114111,-0.042724,209.7973341169768,155.77038329367957
META,13407,2024-05-31,466.82999,0.085222,0.046553,227.67668252509375,163.02196194715023
META,13407,2024-06-28,504.22,0.081165,0.026073,246.15606046224298,167.2724335609983
META,13407,2024-07-31,474.82999,-0.058288,0.019878,231.80811601001977,170.59747499532384
META,13407,2024-08-30,521.31,0.097888,0.021572,254.4993488700086,174.27760372592294
META,13407,2024-09-30,572.44,0.099039,0.020969,279.7047098827454,177.93203079845182
META,13407,2024-10-31,567.58002,-0.00849,-0.008298,277.3300168958409,176.45555080688627
META,13407,2024-11-29,574.32001,0.011875,0.064855,280.62331084647906,187.89957555446688
META,13407,2024-12-31,585.51001,0.020355,-0.031582,286.33539833875915,181.96533115930572
MSFT,10107,2020-01-31,170.23,0.079455,-0.001728,107.94550000000001,99.8272
MSFT,10107,2020-02-28,162.00999,-0.045292,-0.077918,103.056432414,92.0488642304
MSFT,10107,2020-03-31,157.71001,-0.026542,-0.141733,100.32110858486763,79.00250255643272
MSFT,10107,2020-04-30,179.21001,0.136326,0.129674,113.99748403380828,89.24707307293558
MSFT,10107,2020-05-29,183.25,0.025389,0.053739,116.89176615594263,94.04312153280206
MSFT,10107,2020-06-30,203.50999,0.110559,0.025299,129.8152029303775,96.42231846446042
MSFT,10107,2020-07-31,205.00999,0.007371,0.055532,130.7720707911773,101.77684265342883
MSFT,10107,2020-08-31,225.53,0.10258,0.068442,144.1866698129363,108.74265331831484
MSFT,10107,2020-09-30,210.33,-0.067397,-0.035056,134.46892082755383,104.93057086358799
MSFT,10107,2020-10-30,202.47,-0.03737,-0.020178,129.44381725622813,102.81328180470251
MSFT,10107,2020-11-30,214.07001,0.060058,0.123707,137.21795403300268,115.53200445691685
MSFT,10107,2020-12-31,222.42,0.039006,0.045048,142.570277548014,120.73649019369203
MSFT,10107,2021-01-29,231.96001,0.042892,-0.000631,148.6854018926034,120.6603054683798
MSFT,10107,2021-02-26,232.38,0.004225,0.029196,149.31359771559966,124.1831037468346
MSFT,10107,2021-03-31,235.77,0.014588,0.030573,151.4917844790748,127.97975377768658
MSFT,10107,2021-04-30,252.17999,0.069602,0.04819,162.03591566238737,134.1470981122333
MSFT,10107,2021-05-28,249.67999,-0.007693,0.007092,160.78937336319663,135.09846933204525
MSFT,10107,2021-06-30,270.89999,0.084989,0.023422,174.45470141596135,138.2627456807404
MSFT,10107,2021-07-30,284.91,0.051717,0.011828,183.47697520909063,139.89811743665223
MSFT,10107,2021-08-31,301.88,0.061528,0.027146,194.76594653975556,143.69579173258757
MSFT,10107,2021-09-30,281.92001,-0.066119,-0.042243,181.88821692049345,137.62565040242785
MSFT,10107,2021-10-29,331.62,0.176291,0.064651,213.95347256962415,146.5232863265952
MSFT,10107,2021-11-30,330.59,-0.001236,-0.018351,213.6890260775281,143.83443749921588
MSFT,10107,2021-12-31,336.32001,0.017333,0.033341,217.39289796652992,148.63002147987723
MSFT,10107,2022-01-31,310.98001,-0.075345,-0.059823,201.0134300692417,139.73852770488654
MSFT,10107,2022-02-28,298.79001,-0.037205,-0.021838,193.53472540351555,136.6869177368672
MSFT,10107,2022-03-31,308.31,0.031862,0.030506,199.70112882432238,140.85668884934807
MSFT,10107,2022-04-29,277.51999,-0.099867,-0.089387,179.75757619202378,128.2659320031714
MSFT,10107,2022-05-31,271.87,-0.018125,-0.002113,176.49947012354335,127.9949060888487
MSFT,10107,2022-06-30,256.82999,-0.055321,-0.083998,166.7353429368388,117.24358996719756
MSFT,10107,2022-07-29,280.73999,0.093097,0.090351,182.25790315822968,127.83666556432385
MSFT,10107,2022-08-31,261.47,-0.066432,-0.036233,170.15014613562215,123.20475966093171
MSFT,10107,2022-09-30,232.89999,-0.109267,-0.091323,151.55835011782113,111.95333139441645
MSFT,10107,2022-10-31,232.13,-0.003306,0.077394,151.0572982123316,120.61784752435591
MSFT,10107,2022-11-30,255.14,0.102055,0.052354,166.4734507813911,126.93267431364606
MSFT,10107,2022-12-30,239.82001,-0.060045,-0.05712,156.47755242922247,119.68227995685059
MSFT,10107,2023-01-31,247.81,0.033317,0.071823,161.6909150435069,128.27822035019148
MSFT,10107,2023-02-28,249.42,0.009241,-0.024666,163.18510078942396,125.11410976703365
MSFT,10107,2023-03-31,288.29999,0.155882,0.02395,188.62272067068096,128.1105926959541
MSFT,10107,2023-04-28,307.26001,0.065765,0.008976,201.02749389558832,129.260513375993
MSFT,10107,2023-05-31,328.39001,0.070982,0.000708,215.29682746728497,129.35202981946318
MSFT,10107,2023-06-30,340.54001,0.036999,0.066183,223.26259478674703,137.91293520900473
MSFT,10107,2023-07-31,335.92001,-0.013567,0.035618,220.23359116327526,142.82511813527904
MSFT,10107,2023-08-31,327.76001,-0.022267,-0.020608,215.3296497888426,139.88177810074723
MSFT,10107,2023-09-29,315.75,-0.036643,-0.047391,207.43932543163007,133.25264075477472
MSFT,10107,2023-10-31,338.10999,0.070816,-0.028865,222.12934870139637,129.40630327938814
MSFT,10107,2023-11-30,378.91,0.122889,0.092053,249.42660223396226,141.31854171516565
MSFT,10107,2023-12-29,376.04001,-0.007574,0.053604,247.53744514864223,148.8937808252654
MSFT,10107,2024-01-31,397.57999,0.057281,0.007561,261.7166375442016,150.0195667020852
MSFT,10107,2024-02-29,413.64001,0.042281,0.050584,272.782278696208,157.6081564641435
MSFT,10107,2024-03-28,420.72,0.017116,0.03245,277.45122017837224,162.72254114140495
MSFT,10107,2024-04-30,389.32999,-0.07461,-0.042724,256.7505846408639,155.77038329367957
MSFT,10107,2024-05-31,415.13,0.068194,0.046553,274.25943400986296,163.02196194715023
MSFT,10107,2024-06-28,446.95001,0.076651,0.026073,295.281693886153,167.2724335609983
MSFT,10107,2024-07-31,418.35001,-0.063989,0.019878,276.38691357607195,170.59747499532384
MSFT,10107,2024-08-30,417.14001,-0.0011,0.021572,276.08288797113823,174.27760372592294
MSFT,10107,2024-09-30,430.29999,0.031548,0.020969,284.7927509208517,177.93203079845182
MSFT,10107,2024-10-31,406.35001,-0.055659,-0.008298,268.941471197348,176.45555080688627
MSFT,10107,2024-11-29,423.45999,0.044149,0.064855,280.8149682092397,187.89957555446688
MSFT,10107,2024-12-31,421.5,-0.004629,-0.031582,279.51507572139917,181.96533115930572
